Time,Alt_km,Lon_deg,Lat_deg,Vel,Gamma_deg,Psi_deg,Alpha_deg,Bank_deg
10.6,39.8156,0.40295,0.400332,5991.72,-0.190084,45.3732,3.55566,41.8834
10.65,39.8147,0.404856,0.402213,5991.68,-0.190086,45.375,3.55566,41.8797
10.7,39.8137,0.406762,0.404093,5991.64,-0.190088,45.3767,3.55566,41.8762
10.75,39.8127,0.408667,0.405974,5991.6,-0.190089,45.3785,3.55566,41.8729
10.8,39.8117,0.410573,0.407855,5991.56,-0.190091,45.3803,3.55566,41.8696
10.85,39.8107,0.412479,0.409735,5991.52,-0.190091,45.382,3.55566,41.8665
10.9,39.8097,0.414385,0.411616,5991.48,-0.190092,45.3838,3.55566,41.8635
10.95,39.8087,0.416291,0.413496,5991.44,-0.190093,45.3856,3.55566,41.8607
11,39.8077,0.418197,0.415377,5991.4,-0.190093,45.3873,3.55566,41.858
11.05,39.8067,0.420103,0.417257,5991.36,-0.190092,45.3891,3.55566,41.8554
11.1,39.8057,0.422009,0.419137,5991.32,-0.190092,45.3908,3.55566,41.8529
11.15,39.8047,0.423915,0.421017,5991.28,-0.190091,45.3926,3.55566,41.8506
11.2,39.8037,0.425821,0.422897,5991.24,-0.19009,45.3944,3.55566,41.8484
11.25,39.8027,0.427727,0.424777,5991.2,-0.190089,45.3961,3.55566,41.8463
11.3,39.8017,0.429633,0.426657,5991.16,-0.190087,45.3979,3.55566,41.8443
11.35,39.8007,0.43154,0.428537,5991.12,-0.190096,45.3997,3.53809,41.8424
11.4,39.7997,0.433446,0.430417,5991.08,-0.190105,45.4014,3.53809,41.836
11.45,39.7988,0.435352,0.432297,5991.04,-0.190113,45.4032,3.53809,41.8298
11.5,39.7978,0.437259,0.434176,5991,-0.190121,45.4049,3.53809,41.8237
11.55,39.7968,0.439165,0.436056,5990.96,-0.190128,45.4067,3.53809,41.8178
11.6,39.7958,0.441072,0.437936,5990.92,-0.190136,45.4084,3.53809,41.8121
11.65,39.7948,0.442978,0.439815,5990.88,-0.190142,45.4102,3.53809,41.8065
11.7,39.7938,0.444885,0.441694,5990.84,-0.190149,45.412,3.53809,41.8011
11.75,39.7928,0.446791,0.443574,5990.8,-0.190155,45.4137,3.53809,41.7959
11.8,39.7918,0.448698,0.445453,5990.76,-0.19016,45.4155,3.53809,41.7908
11.85,39.7908,0.450605,0.447332,5990.72,-0.190165,45.4172,3.53809,41.7859
11.9,39.7898,0.452512,0.449211,5990.68,-0.19017,45.419,3.53809,41.7811
11.95,39.7888,0.454418,0.45109,5990.64,-0.190175,45.4207,3.53809,41.7765
12,39.7878,0.456325,0.452969,5990.6,-0.190179,45.4225,3.53809,41.772
12.05,39.7868,0.458232,0.454848,5990.56,-0.190183,45.4243,3.53809,41.7677
12.1,39.7858,0.460139,0.456727,5990.52,-0.190186,45.426,3.53809,41.7635
12.15,39.7848,0.462046,0.458606,5990.48,-0.19019,45.4278,3.53809,41.7595
12.2,39.7838,0.463953,0.460484,5990.44,-0.190192,45.4295,3.53809,41.7556
12.25,39.7828,0.46586,0.462363,5990.4,-0.190195,45.4313,3.53809,41.7518
12.3,39.7819,0.467768,0.464241,5990.36,-0.190197,45.433,3.53809,41.7482
12.35,39.7809,0.469675,0.46612,5990.32,-0.190199,45.4348,3.53809,41.7448
12.4,39.7799,0.471582,0.467998,5990.29,-0.190201,45.4366,3.53809,41.7414
12.45,39.7789,0.473489,0.469877,5990.25,-0.190202,45.4383,3.53809,41.7382
12.5,39.7779,0.475397,0.471755,5990.21,-0.190203,45.4401,3.53809,41.7351
12.55,39.7769,0.477304,0.473633,5990.17,-0.190203,45.4418,3.53809,41.7322
12.6,39.7759,0.479211,0.475511,5990.13,-0.190204,45.4436,3.53809,41.7294
12.65,39.7749,0.481119,0.477389,5990.09,-0.190204,45.4454,3.53809,41.7267
12.7,39.7739,0.483026,0.479267,5990.05,-0.190204,45.4471,3.53809,41.7241
12.75,39.7729,0.484934,0.481145,5990.01,-0.190203,45.4489,3.53809,41.7217
12.8,39.7719,0.486842,0.483023,5989.97,-0.190202,45.4506,3.53809,41.7193
12.85,39.7709,0.488749,0.484901,5989.93,-0.190201,45.4524,3.53809,41.7171
12.9,39.7699,0.490657,0.486778,5989.89,-0.1902,45.4542,3.53809,41.715
12.95,39.7689,0.492565,0.488656,5989.85,-0.190198,45.4559,3.53809,41.7131
13,39.7679,0.494472,0.490533,5989.81,-0.190196,45.4577,3.53809,41.7112
13.05,39.7669,0.49638,0.492411,5989.77,-0.190194,45.4594,3.53809,41.7095
13.1,39.7659,0.498288,0.494288,5989.73,-0.190192,45.4612,3.53809,41.7078
13.15,39.765,0.500196,0.496166,5989.69,-0.190189,45.463,3.53809,41.7063
13.2,39.764,0.502104,0.498043,5989.65,-0.190186,45.4647,3.53809,41.7049
13.25,39.763,0.504012,0.49992,5989.61,-0.190183,45.4665,3.53809,41.7036
13.3,39.762,0.50592,0.501797,5989.57,-0.190179,45.4682,3.53809,41.7024
13.35,39.761,0.507828,0.503674,5989.53,-0.190175,45.47,3.53809,41.7013
13.4,39.76,0.509736,0.505551,5989.49,-0.190172,45.4718,3.53809,41.7003
13.45,39.759,0.511645,0.507428,5989.45,-0.190167,45.4735,3.53809,41.6994
13.5,39.758,0.513553,0.509305,5989.41,-0.190163,45.4753,3.53809,41.6987
13.55,39.757,0.515461,0.511182,5989.37,-0.190158,45.4771,3.53809,41.698
13.6,39.756,0.517369,0.513058,5989.33,-0.190153,45.4788,3.53809,41.6974
13.65,39.755,0.519278,0.514935,5989.29,-0.190148,45.4806,3.53809,41.6969
13.7,39.754,0.521186,0.516811,5989.25,-0.190143,45.4824,3.53809,41.6965
13.75,39.753,0.523095,0.518688,5989.21,-0.190137,45.4841,3.53809,41.6962
13.8,39.752,0.525003,0.520564,5989.17,-0.190131,45.4859,3.53809,41.696
13.85,39.751,0.526912,0.522441,5989.13,-0.190125,45.4877,3.53809,41.6959
13.9,39.75,0.52882,0.524317,5989.09,-0.190119,45.4894,3.53809,41.6959
13.95,39.749,0.530729,0.526193,5989.05,-0.190113,45.4912,3.53809,41.696
14,39.7481,0.532638,0.528069,5989.01,-0.190106,45.493,3.53809,41.6961
14.05,39.7471,0.534547,0.529945,5988.97,-0.19011,45.4947,3.52051,41.6964
14.1,39.7461,0.536455,0.531821,5988.93,-0.190114,45.4965,3.52051,41.692
14.15,39.7451,0.538364,0.533697,5988.89,-0.190118,45.4982,3.52051,41.6878
14.2,39.7441,0.540273,0.535573,5988.85,-0.190121,45.5,3.52051,41.6838
14.25,39.7431,0.542182,0.537449,5988.81,-0.190124,45.5017,3.52051,41.6799
14.3,39.7421,0.544091,0.539325,5988.77,-0.190126,45.5035,3.52051,41.6761
14.35,39.7411,0.546,0.5412,5988.73,-0.190129,45.5053,3.52051,41.6725
